team_key,logo_url
miami oh redhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/miami_oh_redhawks.png
michigan state spartans,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/michigan_state_spartans.png
michigan wolverines,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/michigan_wolverines.png
middle tennessee state blue raiders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/middle_tennessee_state_blue_raiders.png
milwaukee panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/milwaukee_panthers.png
minnesota golden gophers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/minnesota_golden_gophers.png
mississippi state bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/mississippi_state_bulldogs.png
mississippi valley state delta devils,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/mississippi_valley_state_delta_devils.png
missouri state bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/missouri_state_bears.png
missouri tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/missouri_tigers.png
monmouth hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/monmouth_hawks.png
montana grizzlies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/montana_grizzlies.png
montana state bobcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/montana_state_bobcats.png
morehead state eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/morehead_state_eagles.png
morgan state bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/morgan_state_bears.png
murray state racers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/murray_state_racers.png
navy midshipmen,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/navy_midshipmen.png
nebraska cornhuskers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/nebraska_cornhuskers.png
nevada wolf pack,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/nevada_wolf_pack.png
new hampshire wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/new_hampshire_wildcats.png
new mexico lobos,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/new_mexico_lobos.png
new mexico state aggies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/new_mexico_state_aggies.png
niagara purple eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/niagara_purple_eagles.png
njit highlanders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/njit_highlanders.png
norfolk state spartans,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/norfolk_state_spartans.png
north alabama lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_alabama_lions.png
north carolina a&t aggies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_carolina_a&t_aggies.png
north carolina at charlotte (uncc) 49ers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_carolina_at_charlotte_(uncc)_49ers.png
north carolina central eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_carolina_central_eagles.png
north carolina state (nc state) wolfpack,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_carolina_state_(nc_state)_wolfpack.png
north carolina tar heels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_carolina_tar_heels.png
north dakota fighting hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_dakota_fighting_hawks.png
north dakota state bison,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_dakota_state_bison.png
north texas mean green,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/north_texas_mean_green.png
northern arizona lumberjacks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northern_arizona_lumberjacks.png
northern colorado bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northern_colorado_bears.png
northern illinois huskies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northern_illinois_huskies.png
northern iowa panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northern_iowa_panthers.png
northern kentucky norse,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northern_kentucky_norse.png
northwestern state demons,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northwestern_state_demons.png
northwestern wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/northwestern_wildcats.png
notre dame fighting irish,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/notre_dame_fighting_irish.png
ohio bobcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/ohio_bobcats.png
ohio state buckeyes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/ohio_state_buckeyes.png
oklahoma sooners,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/oklahoma_sooners.png
oklahoma state cowboys,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/oklahoma_state_cowboys.png
old dominion monarchs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/old_dominion_monarchs.png
ole miss rebels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/ole_miss_rebels.png
omaha mavericks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/omaha_mavericks.png
oral roberts golden eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/oral_roberts_golden_eagles.png
oregon ducks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/oregon_ducks.png
oregon state beavers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/oregon_state_beavers.png
outh alabama jaguars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/outh_alabama_jaguars.png
pacific tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/pacific_tigers.png
penn quakers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/penn_quakers.png
penn state nittany lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/penn_state_nittany_lions.png
pepperdine waves,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/pepperdine_waves.png
pittsbugh panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/pittsbugh_panthers.png
portland pilots,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/portland_pilots.png
portland state vikings,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/portland_state_vikings.png
